area_id,area_name,area_type,year,female_full_time_median_earnings,female_median_earnings,male_full_time_median_earnings,male_median_earnings,median_earnings,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,median_earnings_high_school,median_earnings_less_than_high_school,median_earnings_some_college_or_associates,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_1_to_9999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000
1600000US5406004,Belmont- WV,region.place,2013,27969,16406,36607,35357,25720,36250,49375,29375,20500,28750,1.6,22.5,1.2,27,19.3,13.1,2.5,7.8,4.9
1600000US5409100,Boomer- WV,region.place,2013,40571,8628,48030,44891,28125,0,0,57115,0,30313,3.6,20.1,0,11.2,32.6,21.7,3.6,7.2,0
1600000US5423092,East Bank- WV,region.place,2013,28000,24583,39938,32614,26629,33542,61667,28125,15114,40694,2.6,11.7,0,31.5,30,7,4.4,9.9,2.9
1600000US5451676,Marlinton- WV,region.place,2013,24444,16458,31875,20469,18424,25417,12917,21023,17500,20694,8.3,30,8.3,19.4,10.7,12.3,2.8,5.5,2.8
1600000US5400772,Alderson- WV,region.place,2013,31250,21683,28854,26694,25761,39327,44583,22115,10625,26216,4.8,8.2,0,42.5,24.7,7.2,7.9,3.8,1
1600000US5408932,Bolivar- WV,region.place,2013,43494,33438,46667,32109,32700,43343,62125,25234,22386,34297,1.2,12.7,1.2,21.3,22.8,21.1,3.5,10.2,6
1600000US5412484,Cameron- WV,region.place,2013,25938,21650,35938,31204,26683,46250,0,26354,20163,31944,9.2,21.4,1.3,24.8,14.3,10.5,11.8,2.1,4.6
1600000US5463988,Piney View- WV,region.place,2013,29936,28333,71477,54115,29495,52969,0,29399,16563,17500,0,16.8,0,27.7,5,15.2,10.9,8.9,15.5
1600000US5463604,Piedmont- WV,region.place,2013,26563,16534,30000,25700,21458,27143,0,22292,14583,27083,4.4,21.8,5.3,33.3,22.2,4.9,3.1,4.9,0
1600000US5452180,Mason- WV,region.place,2013,27019,22372,58977,35000,27273,30179,0,30250,37750,31923,1.9,22.2,3.8,23.1,17.5,15,0,5.3,11.3
1600000US5430220,Gassaway- WV,region.place,2013,28281,27222,45000,32813,30650,42917,43214,25000,11875,36667,10.1,19.9,1.5,17.3,24.1,19,0,4.5,3.6
1600000US5458420,Newell- WV,region.place,2013,25673,23625,31919,31616,30544,0,0,26346,38583,31413,0,19.5,0,44.2,22.1,14.2,0,0,0
1600000US5453572,Middlebourne- WV,region.place,2013,26406,15357,42500,36477,23102,46406,41875,17292,23000,22232,3.4,26.6,5.3,9.2,29,11.6,0,13.5,1.4
1600000US5425516,Enterprise- WV,region.place,2013,34946,34348,30116,30539,31272,50833,44412,24632,30938,34185,15.8,24.8,1.6,21.2,19.3,14.1,0,3.2,0
1600000US5485804,West Hamlin- WV,region.place,2013,25000,3393,47760,31979,12569,0,0,21250,9479,24375,8.1,17.6,0,27.2,41.2,0,5.9,0,0
1600000US5420980,Delbarton- WV,region.place,2013,35333,17344,72500,58214,28906,0,0,29688,0,29063,6.2,11.7,0,8,14.2,19.1,15.4,16,9.3
1600000US5424364,Elizabeth- WV,region.place,2013,27115,22778,26917,26611,25739,28750,51458,25057,11875,26136,6,21.5,0,41,14.7,15.1,1.6,0,0
1600000US5413525,Carpendale- WV,region.place,2013,30833,20550,33125,26992,25139,31250,65938,25694,5625,32813,4,24.3,1.7,30,14.3,13.7,6.3,2.7,3
1600000US5401900,Anmoore- WV,region.place,2013,25000,12475,40486,35833,18906,35500,0,11875,33864,25625,8.7,20.8,2.6,14.7,33.3,16,0,3,0.9
1600000US5428516,Fort Gay- WV,region.place,2013,32727,16053,33125,24327,16678,0,0,15750,9519,23365,0,29.1,0,32.7,2.7,27.3,8.2,0,0
1600000US5458180,Nettie- WV,region.place,2013,57862,23086,65432,48000,36375,0,0,49107,0,24033,0,13.3,0,5.4,27.2,10.3,25.5,9,9.2
1600000US5474740,Smithers- WV,region.place,2013,24797,22770,38636,32847,24764,33472,0,24444,0,33224,7.2,29.3,1.1,18.8,29,5.8,2.2,4.7,1.8
1600000US5480932,Triadelphia- WV,region.place,2013,26500,16518,29438,26389,22333,26719,0,20625,15455,27500,10,22.8,0,39.1,12.8,9.6,1.8,3.9,0
1600000US5463940,Pineville- WV,region.place,2013,35833,24597,64063,61250,35850,85114,50469,24597,28375,47344,5,13,1.3,16.9,15.6,9.6,20.9,10,7.6
1600000US5470588,Rowlesburg- WV,region.place,2013,23681,20000,40521,23158,22635,19474,40208,24095,7188,32813,5.2,41,0,19.4,20.9,13.4,0,0,0
1600000US5437948,Holden- WV,region.place,2013,22400,21974,43313,26875,25109,47837,0,22226,21500,38542,0,34.5,0,13,31.4,0,16.1,0,4.9
1600000US5487316,Wiley Ford- WV,region.place,2013,51528,14133,26637,27083,26458,0,0,26682,20703,62500,20.7,6.1,0,36,7.3,18.4,0,11.5,0
1600000US5452228,Masontown- WV,region.place,2013,24485,20885,38750,33125,21979,36250,76458,22250,23750,21979,1.1,27.8,3.2,11.9,26.7,10.8,5.8,7.9,4.7
1600000US5430196,Gary- WV,region.place,2013,21304,20326,57647,55972,23083,31750,0,21860,59423,22188,12.8,35.2,0,16.8,3.1,15.3,7.7,3.6,5.6
1600000US5414812,Chelyan- WV,region.place,2013,17019,15288,21513,20625,18941,0,0,18411,0,0,5.1,53.8,0,13.4,14.6,13,0,0,0
1600000US5459458,North Hills- WV,region.place,2013,53750,40417,80694,70673,53409,75083,88750,16786,0,40000,0.8,4,0,8.5,11.7,15,7.3,24.7,27.9
1600000US5431324,Glasgow- WV,region.place,2013,34773,18958,40750,21339,20893,48750,0,20227,19643,20208,0,23.6,9.9,16.3,15,7.7,16.7,7.3,3.4
1600000US5485924,West Milford- WV,region.place,2013,46500,28750,38333,32109,30862,48889,48571,30341,17292,32857,3.1,17.1,4.7,16.8,24.5,20.5,3.7,1.6,8.1
1600000US5439628,Huttonsville- WV,region.place,2013,18750,6058,33750,24875,18750,0,0,9722,21250,24375,9.6,26.9,0,23.1,21.2,13.5,5.8,0,0
1600000US5463892,Pine Grove- WV,region.place,2013,27188,18864,43158,37813,24196,55250,0,26000,0,22500,2.2,24.4,2.2,20.7,25.2,10.4,11.1,3.7,0
1600000US5420212,Danville- WV,region.place,2013,28333,18194,33750,31625,28276,30833,0,22206,0,31250,1.8,30.3,0,27.5,17.9,7.3,1.4,11.9,1.8
