area_id,area_name,area_type,year,Aggravated assault,All Crimes,Burglary,Larceny,Motor vehicle theft,Murder and nonnegligent manslaughter,Property crime,Rape (revised definition),Robbery,Violent crime
1600000US1150000,Washington- DC,region.place,2006,4453,68880,3826,15132,7057,169,26015,,3604,8408
1600000US1150000,Washington- DC,region.place,2007,3566,71349,3920,16476,7323,181,27719,,3985,7924
1600000US1150000,Washington- DC,region.place,2008,3609,73839,3781,18787,6191,186,28759,,4154,8135
1600000US1150000,Washington- DC,region.place,2009,3295,69241,3696,18012,5299,143,27007,,3998,7586
1600000US1150000,Washington- DC,region.place,2010,3238,69261,4224,18050,4864,132,27138,,3914,7468
1600000US1150000,Washington- DC,region.place,2011,2949,70655,3849,20124,4339,108,28312,,3756,6985
1600000US1150000,Washington- DC,region.place,2012,3399,73474,3519,22196,3549,88,29264,,3725,7448
1600000US1150000,Washington- DC,region.place,2013,3724,74898,3314,23108,3147,103,29569,393,3660,7880
1600000US1150000,Washington- DC,region.place,2014,4004,81674,3463,25881,3683,105,33027,470,3231,7810
