area_id,area_name,area_type,year,percent_associates_degree,percent_bachelors_degree_or_higher,percent_graduate_or_professional_degree,percent_high_school_graduate_or_higher,percent_less_than_9th_grade
1600000US0227145,Funny River- AK,region.place,2013,8.8,31.7,12.2,96,1.2
1600000US0222910,Emmonak- AK,region.place,2013,2.7,9.2,3.9,84.9,3.9
1600000US0277690,Togiak- AK,region.place,2013,2.1,7.6,2.3,67.2,17
1600000US0266550,Salcha- AK,region.place,2013,0,31.2,8.1,94.6,0
1600000US0239410,King Cove- AK,region.place,2013,5,19,1.6,87.1,5.5
1600000US0267460,Savoonga- AK,region.place,2013,0.8,2,1.4,62,20.4
1600000US0285680,Womens Bay- AK,region.place,2013,18.5,30.5,5.8,97.3,2.7
1600000US0251180,Mountain Village- AK,region.place,2013,1.5,5.1,1.5,71.6,12.9
1600000US0227640,Gambell- AK,region.place,2013,4.7,6.9,0.9,78,9.7
1600000US0233360,Hoonah- AK,region.place,2013,9.3,14,3.7,83.5,4.7
1600000US0261630,Point Hope- AK,region.place,2013,1.3,7.3,2.4,79.1,10.7
1600000US0240670,Knik River- AK,region.place,2013,9.2,22.8,7.2,89.5,2.1
1600000US0236540,Kachemak- AK,region.place,2013,6.2,35.5,18.5,91.8,1.6
1600000US0242380,Kwethluk- AK,region.place,2013,1.2,2.7,0,77.1,10.2
1600000US0280660,Unalakleet- AK,region.place,2013,6.7,18.1,4.2,89.4,6.3
1600000US0254480,Ninilchik- AK,region.place,2013,7.6,24.5,8.6,93.5,3
1600000US0268230,Selawik- AK,region.place,2013,0,2.3,1.9,69.4,8.7
1600000US0255140,Noorvik- AK,region.place,2013,1.6,3.5,0,75.2,10.6
1600000US0226910,Fox River- AK,region.place,2013,5.3,8.6,0,40.4,42.1
1600000US0266470,St. Paul- AK,region.place,2013,2.5,9.3,3.5,78.3,5
1600000US0201200,Alakanuk- AK,region.place,2013,4,6.2,0.7,70.1,12.8
1600000US0278240,Toksook Bay- AK,region.place,2013,3.1,5.8,1.5,70.8,16
1600000US0206850,Big Delta- AK,region.place,2013,0,22.7,2.2,96.7,3.3
1600000US0250080,Moose Creek- AK,region.place,2013,5,17,10.7,95.3,4.7
1600000US0226870,Fox- AK,region.place,2013,24.5,45.8,8.2,91.8,0
1600000US0239740,Kipnuk- AK,region.place,2013,2.1,5.8,0,77.3,11.3
1600000US0269770,Shishmaref- AK,region.place,2013,2.3,1.9,0,77.4,10.9
1600000US0272230,South Van Horn- AK,region.place,2013,2,12.6,0.7,89.9,0
1600000US0240400,Klawock- AK,region.place,2013,1.6,5.1,2.5,82,5.5
1600000US0200760,Akiachak- AK,region.place,2013,2.9,9,3.5,79.4,9.6
1600000US0252060,Naknek- AK,region.place,2013,4.2,17.1,5,93.7,2.1
1600000US0264600,Quinhagak- AK,region.place,2013,0.9,1.5,0.9,60,15.8
1600000US0272960,Stebbins- AK,region.place,2013,1.8,1.3,1.3,72.2,10.6
1600000US0246890,Manokotak- AK,region.place,2013,1.2,10.1,0.9,78.3,17.4
1600000US0231710,Happy Valley- AK,region.place,2013,7.7,18,3.3,95.8,2.3
1600000US0209600,Buckland- AK,region.place,2013,1.4,4.2,0,81.9,11.6
1600000US0241720,Kotlik- AK,region.place,2013,1.8,5.5,3.3,77.5,13.8
1600000US0286490,Yakutat- AK,region.place,2013,5.1,22.7,5.3,93.2,3.5
1600000US0227530,Galena- AK,region.place,2013,3.6,19.8,7.7,84.9,11.8
1600000US0253710,New Stuyahok- AK,region.place,2013,3.5,3.1,0,71.8,20.5
1600000US0203550,Aniak- AK,region.place,2013,4.6,11.8,5.3,88.5,7.9
1600000US0274830,Talkeetna- AK,region.place,2013,2.2,31.9,9.8,89.4,0.2
1600000US0282750,Wainwright- AK,region.place,2013,3.9,1,1,73,7.6
1600000US0230940,Gustavus- AK,region.place,2013,9.6,47.9,21,97.3,1.6
1600000US0237975,Kasigluk- AK,region.place,2013,1.9,1.9,0,66.7,21.7
1600000US0266140,St. Mary's- AK,region.place,2013,2.6,15.7,6.7,87.3,11.2
1600000US0260750,Pilot Station- AK,region.place,2013,5.4,1.9,0,68.6,13.8
1600000US0226760,Fort Yukon- AK,region.place,2013,4.1,9.6,4.3,70.4,19.4
1600000US0238090,Kasilof- AK,region.place,2013,9.6,22.8,13.6,100,0
1600000US0278680,Trapper Creek- AK,region.place,2013,8.9,10.7,4.1,91.1,4.4
1600000US0212680,Chefornak- AK,region.place,2013,4.2,2.3,0.9,73.8,18.7
1600000US0236770,Kake- AK,region.place,2013,7,17.9,10,86.4,2.7
1600000US0267680,Scammon Bay- AK,region.place,2013,0.5,1.6,0,76.2,10.4
1600000US0277140,Thorne Bay- AK,region.place,2013,4.9,33.9,12.2,97.1,0.9
1600000US0250190,Moose Pass- AK,region.place,2013,1.4,35.2,4.9,90.3,0
1600000US0239960,Kivalina- AK,region.place,2013,3,2,0,65.7,13.1
1600000US0203440,Angoon- AK,region.place,2013,2.2,20.5,10.4,81.7,3.5
1600000US0253050,Nenana- AK,region.place,2013,9.3,5.8,0,85.1,4.4
1600000US0254700,Noatak- AK,region.place,2013,0,1.8,0,80.7,10.6
1600000US0267570,Saxman- AK,region.place,2013,7.6,16.4,9.9,88.2,2.6
1600000US0228740,Glennallen- AK,region.place,2013,10.4,36.6,17.4,90.9,1.7
1600000US0246560,McKinley Park- AK,region.place,2013,9.4,54.9,4.5,93.8,0
1600000US0256680,Nunapitchuk- AK,region.place,2013,1.7,6.4,2.9,74,12.1
1600000US0278790,Tuluksak- AK,region.place,2013,0,1,0,63.7,19.2
1600000US0253820,Newtok- AK,region.place,2013,0,2.4,2.4,73.8,18.3
1600000US0208740,Brevig Mission- AK,region.place,2013,2.4,4.2,1.8,78,2.4
1600000US0261788,Point MacKenzie- AK,region.place,2013,9.4,10.7,0,74.4,5.5
1600000US0256320,Nuiqsut- AK,region.place,2013,2,8.2,4.6,73.5,9.2
1600000US0252720,Napaskiak- AK,region.place,2013,2.5,5.1,2.5,70.6,20.3
1600000US0200870,Akiak- AK,region.place,2013,1.5,4,3.5,83.2,7.9
1600000US0239300,Kiana- AK,region.place,2013,2,6.6,2,73.1,12.7
1600000US0266360,St. Michael- AK,region.place,2013,5,9.4,3.1,86.8,6.3
1600000US0246010,McGrath- AK,region.place,2013,5.7,18.9,7,94.3,3.9
1600000US0217300,Copper Center- AK,region.place,2013,8.7,16.9,11.9,88.6,5.5
1600000US0279120,Tuntutuliak- AK,region.place,2013,4.4,3.3,1.1,56.6,27.5
1600000US0241610,Kongiganak- AK,region.place,2013,1.7,5,0,76.8,11.6
1600000US0234460,Hydaburg- AK,region.place,2013,0.4,6.6,2.5,85.5,1.7
1600000US0252390,Napakiak- AK,region.place,2013,4.3,0,0,79,16
1600000US0270100,Shungnak- AK,region.place,2013,0,0,0,71.3,10.2
1600000US0265700,Russian Mission- AK,region.place,2013,2.1,4.1,1.4,76.7,6.8
1600000US0222250,Elim- AK,region.place,2013,4.3,3.8,0.5,91.3,3.3
1600000US0279830,Two Rivers- AK,region.place,2013,23.5,23.1,12,100,0
1600000US0221040,Eek- AK,region.place,2013,0,3.2,0.6,62,20.9
1600000US0247000,Marshall- AK,region.place,2013,0,1.2,0,76.4,14.3
1600000US0253930,Nightmute- AK,region.place,2013,3.9,3.2,2.6,64.5,17.4
1600000US0229290,Goodnews Bay- AK,region.place,2013,0,0,0,61.5,21.7
1600000US0234350,Huslia- AK,region.place,2013,4.3,3.1,0,78.9,18.6
1600000US0242490,Kwigillingok- AK,region.place,2013,1.2,0,0,77.3,6.7
1600000US0202080,Anaktuvuk Pass- AK,region.place,2013,2.1,10,7.1,80,7.1
1600000US0245460,Lower Kalskag- AK,region.place,2013,2,4.7,2,84,8.7
1600000US0275480,Tazlina- AK,region.place,2013,5.8,17.8,7,88.4,4.5
1600000US0258550,Ouzinkie- AK,region.place,2013,0,8.6,3.8,74.1,11.4
1600000US0204430,Atmautluak- AK,region.place,2013,0.7,2,0,70.5,15.4
1600000US0261120,Pleasant Valley- AK,region.place,2013,29.5,13.1,0,100,0
1600000US0201970,Ambler- AK,region.place,2013,3.4,4.1,1.4,77.9,10.3
1600000US0203220,Anderson- AK,region.place,2013,5.3,14.1,7.8,94.7,1
1600000US0268340,Seldovia- AK,region.place,2013,6.8,21.5,17.4,95.4,0.9
1600000US0228590,Glacier View- AK,region.place,2013,6.2,33.2,8.5,87.7,2.8
1600000US0241940,Koyuk- AK,region.place,2013,5.2,1.7,0,77.6,13.8
1600000US0256350,Nulato- AK,region.place,2013,3.9,9.2,5.9,81.7,10.5
1600000US0279230,Tununak- AK,region.place,2013,1.9,5.1,0.6,78.3,15.9
1600000US0204500,Atqasuk- AK,region.place,2013,3,7.5,3,70.9,9.7
1600000US0239630,King Salmon- AK,region.place,2013,5.9,25.8,14.5,89.8,6.5
1600000US0261700,Point Lay- AK,region.place,2013,2.1,9.9,1.4,78.2,1.4
1600000US0275160,Tanana- AK,region.place,2013,3.7,6.2,0,83.2,6.2
1600000US0252210,Nanwalek- AK,region.place,2013,0,3.5,0,88.7,4.3
1600000US0284120,Whitestone- AK,region.place,2013,22.2,37.9,16.5,85.6,0
1600000US0284510,Whittier- AK,region.place,2013,2.7,23.4,4.3,96.2,1.6
1600000US0279890,Tyonek- AK,region.place,2013,3.2,6.3,3.2,96,1.6
1600000US0213340,Chickaloon- AK,region.place,2013,11.3,25.3,8.8,93.8,5.2
1600000US0264980,Red Dog Mine- AK,region.place,2013,3,24.3,7.4,97,0
1600000US0263610,Port Lions- AK,region.place,2013,15.3,11,9.8,88.3,9.2
1600000US0281320,Upper Kalskag- AK,region.place,2013,9.3,2.1,2.1,74.2,18.6
1600000US0257340,Old Harbor- AK,region.place,2013,5.3,7.9,6,60.3,0
1600000US0217190,Cooper Landing- AK,region.place,2013,6.9,27.2,14.4,100,0
1600000US0275930,Teller- AK,region.place,2013,2.9,0,0,65.7,16.2
1600000US0233030,Holy Cross- AK,region.place,2013,6.2,3.5,1.8,91.2,6.2
1600000US0249530,Minto- AK,region.place,2013,5,5.8,0,70,13.3
1600000US0241500,Koliganek- AK,region.place,2013,3.7,8.3,4.6,78.7,11.1
1600000US0265590,Ruby- AK,region.place,2013,3.4,9.3,5.1,79.7,5.9
1600000US0268890,Shaktoolik- AK,region.place,2013,1.7,7,0,87,5.2
1600000US0201420,Aleknagik- AK,region.place,2013,2.6,11.4,0,79.8,13.2
1600000US0236990,Kaktovik- AK,region.place,2013,1.6,1.6,0,73.6,15.2
1600000US0231765,Harding-Birch Lakes- AK,region.place,2013,0,47.5,4,94.9,0
1600000US0227420,Gakona- AK,region.place,2013,5.3,48.9,21.1,94.7,0
1600000US0237430,Kaltag- AK,region.place,2013,3.6,2.9,1.4,91.4,3.6
1600000US0210150,Cantwell- AK,region.place,2013,6,24,3.3,92.7,2.7
1600000US0255030,Nondalton- AK,region.place,2013,2,3.9,0,86.3,3.9
1600000US0248540,Mentasta Lake- AK,region.place,2013,0,11.2,11.2,75.7,13.1
1600000US0247990,Mekoryuk- AK,region.place,2013,4,7.1,1.6,77.8,19.8
1600000US0253270,Newhalen- AK,region.place,2013,4.8,15.7,9.6,97.6,1.2
1600000US0270930,Slana- AK,region.place,2013,14.2,10.5,0,90.1,0
1600000US0254085,Nikolaevsk- AK,region.place,2013,12.5,10.7,3.6,85.7,10.7
1600000US0230060,Grayling- AK,region.place,2013,4.6,0,0,62.1,20.7
1600000US0200650,Akhiok- AK,region.place,2013,7.3,6.1,0,50,8.5
1600000US0284070,White Mountain- AK,region.place,2013,5.4,12,7.6,80.4,6.5
1600000US0282420,Venetie- AK,region.place,2013,4.3,6.4,0,58.5,8.5
1600000US0238910,Kenny Lake- AK,region.place,2013,0,52.4,9.5,100,0
1600000US0268370,Seldovia Village- AK,region.place,2013,11.8,16.9,9.6,89.7,5.9
1600000US0260860,Pitkas Point- AK,region.place,2013,6.1,6.1,0,74.4,20.7
1600000US0270320,Silver Springs- AK,region.place,2013,8.1,56.8,19.8,94.6,0.9
1600000US0275050,Tanacross- AK,region.place,2013,7,0,0,68.6,19.8
1600000US0221810,Ekwok- AK,region.place,2013,6,13.4,7.5,73.1,16.4
1600000US0262620,Port Alsworth- AK,region.place,2013,8.3,33.3,2.8,97.2,1.4
